prompt,health_ailment,date
Type 2 Diabetes have been affecting me since 12/30/2019 – 01/10/2020.,Type 2 Diabetes,12/30/2019 – 01/10/2020
"Since 2020/02/05 – 2020/02/10, I’ve been dealing with Depression.",Depression,2020/02/05 – 2020/02/10
I've been experiencing Tachycardia (Fast Heart Rate) since Past 12 hours.,Tachycardia (Fast Heart Rate),Past 12 hours
I have had Obesity since Past 6 hours.,Obesity,Past 6 hours
I have Peripheral Neuropathy since Since the beginning of this year.,Peripheral Neuropathy,Since the beginning of this year
I've been experiencing Exertional Rhabdomyolysis since Last 3 hours.,Exertional Rhabdomyolysis,Last 3 hours
I have had Benign Prostatic Hyperplasia (BPH) since Past 1 hour.,Benign Prostatic Hyperplasia (BPH),Past 1 hour
I have had Hypertrophic Cardiomyopathy since From 03/01/2020 to 03/07/2020.,Hypertrophic Cardiomyopathy,From 03/01/2020 to 03/07/2020
I’ve been suffering from Glaucoma ever since 2019/11/29 – 2019/12/15.,Glaucoma,2019/11/29 – 2019/12/15
"Since 03/11/2020 – 03/14/2020, I’ve been dealing with Hypertrophic Cardiomyopathy.",Hypertrophic Cardiomyopathy,03/11/2020 – 03/14/2020
I've been experiencing Overtraining Syndrome since This month (up to today).,Overtraining Syndrome,This month (up to today)
Osteoarthritis have been affecting me since During the holiday season 2019.,Osteoarthritis,During the holiday season 2019
"Since This month (up to today), I’ve been dealing with Type 2 Diabetes.",Type 2 Diabetes,This month (up to today)
Hypertrophic Cardiomyopathy have been affecting me since 2020/02/11 – 2020/02/14.,Hypertrophic Cardiomyopathy,2020/02/11 – 2020/02/14
I've been experiencing Migraine since 2019/11/18 – 2019/11/22.,Migraine,2019/11/18 – 2019/11/22
I've been experiencing Type 2 Diabetes since Since the beginning of this year.,Type 2 Diabetes,Since the beginning of this year
"Type 2 Diabetes have been affecting me since Today, 08:00 AM – 11:00 AM.",Type 2 Diabetes,"Today, 08:00 AM – 11:00 AM"
I've been experiencing Migraine since Last weekend.,Migraine,Last weekend
I have had Overtraining Syndrome since Past 12 hours.,Overtraining Syndrome,Past 12 hours
I have had Delayed Onset Muscle Soreness (DOMS) since Past 2 weeks.,Delayed Onset Muscle Soreness (DOMS),Past 2 weeks
I've been experiencing Insomnia since Since last Monday.,Insomnia,Since last Monday
I’ve been suffering from Chronic Sinusitis ever since 2020/02/05 – 2020/02/10.,Chronic Sinusitis,2020/02/05 – 2020/02/10
I've been experiencing Peripheral Neuropathy since 03/01/2020 – 03/05/2020.,Peripheral Neuropathy,03/01/2020 – 03/05/2020
I've been experiencing Runner’s Knee (Patellofemoral Pain Syndrome) since Yesterday.,Runner’s Knee (Patellofemoral Pain Syndrome),Yesterday
Joint Sprain have been affecting me since The entire month of February 2020.,Joint Sprain,The entire month of February 2020
I have Gout since 2020/02/05 – 2020/02/10.,Gout,2020/02/05 – 2020/02/10
I have Pneumonia since 2019/11/05 – 2019/11/06.,Pneumonia,2019/11/05 – 2019/11/06
I have had Fatigue from Iron Deficiency since This month (up to today).,Fatigue from Iron Deficiency,This month (up to today)
I’ve been suffering from Celiac Disease ever since From 07:00 PM to 10:00 PM yesterday.,Celiac Disease,From 07:00 PM to 10:00 PM yesterday
I have had Delayed Onset Muscle Soreness (DOMS) since Since the beginning of this year.,Delayed Onset Muscle Soreness (DOMS),Since the beginning of this year
I’ve been suffering from Anemia Eczema (Atopic Dermatitis) ever since 03/01/2020 – 03/15/2020.,Anemia Eczema (Atopic Dermatitis),03/01/2020 – 03/15/2020
I have Glaucoma since From 07:00 PM to 10:00 PM yesterday.,Glaucoma,From 07:00 PM to 10:00 PM yesterday
"Since 2019/11/03 – 2019/11/07, I’ve been dealing with Rheumatoid Arthritis.",Rheumatoid Arthritis,2019/11/03 – 2019/11/07
"Since 03/06/2020 – 03/10/2020, I’ve been dealing with Hyperthyroidism.",Hyperthyroidism,03/06/2020 – 03/10/2020
I’ve been suffering from Gout ever since 2019/11/03 – 2019/11/07.,Gout,2019/11/03 – 2019/11/07
I have Anxiety Disorder since During Spring 2020.,Anxiety Disorder,During Spring 2020
I've been experiencing Obesity since Between 02/10/2020 and 02/20/2020.,Obesity,Between 02/10/2020 and 02/20/2020
I have Pneumonia since Between 02/10/2020 and 02/20/2020.,Pneumonia,Between 02/10/2020 and 02/20/2020
I have had Fibromyalgia since Since the beginning of this year.,Fibromyalgia,Since the beginning of this year
Hypertension (High Blood Pressure) have been affecting me since Last 36 hours.,Hypertension (High Blood Pressure),Last 36 hours
"Since Last 3 months, I’ve been dealing with Plantar Fasciitis.",Plantar Fasciitis,Last 3 months
Bradycardia (Slow Heart Rate) have been affecting me since Yesterday.,Bradycardia (Slow Heart Rate),Yesterday
I've been experiencing Joint Sprain since 2019/11/29 – 2019/12/15.,Joint Sprain,2019/11/29 – 2019/12/15
I’ve been suffering from Fatigue from Iron Deficiency ever since 2020/01/01 – 2020/01/07.,Fatigue from Iron Deficiency,2020/01/01 – 2020/01/07
Gout have been affecting me since 2020/02/11 – 2020/02/14.,Gout,2020/02/11 – 2020/02/14
I've been experiencing Osteoarthritis since The first week of November 2019.,Osteoarthritis,The first week of November 2019
I've been experiencing Tachycardia (Fast Heart Rate) since Since the beginning of this year.,Tachycardia (Fast Heart Rate),Since the beginning of this year
Dehydration have been affecting me since Past 12 hours.,Dehydration,Past 12 hours
I have had Asthma since 2019/11/10 – 2019/11/12.,Asthma,2019/11/10 – 2019/11/12
"Since The entire month of February 2020, I’ve been dealing with Migraine.",Migraine,The entire month of February 2020
"Since Last 36 hours, I’ve been dealing with Chronic Sinusitis.",Chronic Sinusitis,Last 36 hours
I've been experiencing Irritable Bowel Syndrome (IBS) since The second half of November 2019.,Irritable Bowel Syndrome (IBS),The second half of November 2019
"Since Since last night at midnight, I’ve been dealing with Polycystic Ovary Syndrome (PCOS).",Polycystic Ovary Syndrome (PCOS),Since last night at midnight
I've been experiencing Achilles Tendinitis since Past 6 hours.,Achilles Tendinitis,Past 6 hours
I have had Benign Prostatic Hyperplasia (BPH) since 2020/01/20 – 2020/01/25.,Benign Prostatic Hyperplasia (BPH),2020/01/20 – 2020/01/25
I’ve been suffering from Muscle Strain ever since 2019/11/29 – 2019/12/15.,Muscle Strain,2019/11/29 – 2019/12/15
I’ve been suffering from Type 2 Diabetes ever since For the past 10 minutes.,Type 2 Diabetes,For the past 10 minutes
I’ve been suffering from Anemia Eczema (Atopic Dermatitis) ever since From 07:00 PM to 10:00 PM yesterday.,Anemia Eczema (Atopic Dermatitis),From 07:00 PM to 10:00 PM yesterday
I have Peripheral Neuropathy since The last quarter of 2019.,Peripheral Neuropathy,The last quarter of 2019
I have had Heart Palpitations since 2019/11/03 – 2019/11/07.,Heart Palpitations,2019/11/03 – 2019/11/07
I’ve been suffering from Allergic Rhinitis (Seasonal Allergies) ever since This month (up to today).,Allergic Rhinitis (Seasonal Allergies),This month (up to today)
I’ve been suffering from Tachycardia (Fast Heart Rate) ever since 2019/12/08 – 2019/12/12.,Tachycardia (Fast Heart Rate),2019/12/08 – 2019/12/12
Chronic Fatigue Syndrome have been affecting me since Past 2 weeks.,Chronic Fatigue Syndrome,Past 2 weeks
I have had Chronic Fatigue Syndrome since 2020/01/01 – 2020/01/07.,Chronic Fatigue Syndrome,2020/01/01 – 2020/01/07
I’ve been suffering from Osteoarthritis ever since The last quarter of 2019.,Osteoarthritis,The last quarter of 2019
Exertional Rhabdomyolysis have been affecting me since The first week of November 2019.,Exertional Rhabdomyolysis,The first week of November 2019
I’ve been suffering from Rheumatoid Arthritis ever since Every morning this week.,Rheumatoid Arthritis,Every morning this week
I've been experiencing Asthma since 2019/11/10 – 2019/11/12.,Asthma,2019/11/10 – 2019/11/12
I have Runner’s Knee (Patellofemoral Pain Syndrome) since 03/20/2020 – 03/27/2020.,Runner’s Knee (Patellofemoral Pain Syndrome),03/20/2020 – 03/27/2020
I’ve been suffering from Attention Deficit Hyperactivity Disorder (ADHD) ever since 2020/01/28 – 2020/02/02.,Attention Deficit Hyperactivity Disorder (ADHD),2020/01/28 – 2020/02/02
I have Gallstones since Last 36 hours.,Gallstones,Last 36 hours
Pneumonia have been affecting me since 03/20/2020 – 03/27/2020.,Pneumonia,03/20/2020 – 03/27/2020
I've been experiencing Psoriasis Urinary Tract Infection (UTI) since Yesterday.,Psoriasis Urinary Tract Infection (UTI),Yesterday
I have had Migraine since 2020/02/05 – 2020/02/10.,Migraine,2020/02/05 – 2020/02/10
I have had Chronic Sinusitis since 03/01/2020 – 03/05/2020.,Chronic Sinusitis,03/01/2020 – 03/05/2020
I have had Iliotibial Band Syndrome (ITBS) since 2020/02/22 – 2020/02/25.,Iliotibial Band Syndrome (ITBS),2020/02/22 – 2020/02/25
I’ve been suffering from Hypertrophic Cardiomyopathy ever since Since my last doctor’s visit.,Hypertrophic Cardiomyopathy,Since my last doctor’s visit
Exertional Rhabdomyolysis have been affecting me since 03/21/2020 – 03/25/2020.,Exertional Rhabdomyolysis,03/21/2020 – 03/25/2020
I have had Glaucoma since Past 30 days.,Glaucoma,Past 30 days
Epilepsy have been affecting me since 2020/02/11 – 2020/02/14.,Epilepsy,2020/02/11 – 2020/02/14
I have had Anemia Eczema (Atopic Dermatitis) since Every morning this week.,Anemia Eczema (Atopic Dermatitis),Every morning this week
I have Restless Legs Syndrome since Last weekend.,Restless Legs Syndrome,Last weekend
"Since The entire month of February 2020, I’ve been dealing with Dehydration.",Dehydration,The entire month of February 2020
I've been experiencing Rosacea since Over the last school semester.,Rosacea,Over the last school semester
I have Osteoarthritis since The second half of November 2019.,Osteoarthritis,The second half of November 2019
I’ve been suffering from Polycystic Ovary Syndrome (PCOS) ever since This month (up to today).,Polycystic Ovary Syndrome (PCOS),This month (up to today)
I've been experiencing Rosacea since Since turning 30 years old.,Rosacea,Since turning 30 years old
I've been experiencing Rheumatoid Arthritis since Last 2 months.,Rheumatoid Arthritis,Last 2 months
"Since 2020/02/11 – 2020/02/14, I’ve been dealing with Pneumonia.",Pneumonia,2020/02/11 – 2020/02/14
Common Cold have been affecting me since 2019/11/10 – 2019/11/12.,Common Cold,2019/11/10 – 2019/11/12
I've been experiencing Celiac Disease since 2020/02/11 – 2020/02/14.,Celiac Disease,2020/02/11 – 2020/02/14
"Since Last weekend, I’ve been dealing with Joint Sprain.",Joint Sprain,Last weekend
Postural Orthostatic Tachycardia Syndrome (POTS) have been affecting me since Last 3 months.,Postural Orthostatic Tachycardia Syndrome (POTS),Last 3 months
I have Exertional Rhabdomyolysis since Last 36 hours.,Exertional Rhabdomyolysis,Last 36 hours
I have Orthostatic Intolerance since For the past 4 days.,Orthostatic Intolerance,For the past 4 days
"Since 2019/11/10 – 2019/11/12, I’ve been dealing with High Cholesterol (Hyperlipidemia).",High Cholesterol (Hyperlipidemia),2019/11/10 – 2019/11/12
Osteoarthritis have been affecting me since Last 3 months.,Osteoarthritis,Last 3 months
"Since During the holiday season 2019, I’ve been dealing with Hypothyroidism.",Hypothyroidism,During the holiday season 2019
I've been experiencing Rheumatoid Arthritis since For the past 4 days.,Rheumatoid Arthritis,For the past 4 days
I've been experiencing Gallstones since From 07:00 PM to 10:00 PM yesterday.,Gallstones,From 07:00 PM to 10:00 PM yesterday
"Since The last quarter of 2019, I’ve been dealing with Anemia Eczema (Atopic Dermatitis).",Anemia Eczema (Atopic Dermatitis),The last quarter of 2019
I've been experiencing Peptic Ulcer Disease since Yesterday.,Peptic Ulcer Disease,Yesterday
"Since 2020/01/11 – 2020/01/15, I’ve been dealing with Common Cold.",Common Cold,2020/01/11 – 2020/01/15
"Since Over the last school semester, I’ve been dealing with Depression.",Depression,Over the last school semester
I’ve been suffering from Overtraining Syndrome ever since During Spring 2020.,Overtraining Syndrome,During Spring 2020
I have had Allergic Rhinitis (Seasonal Allergies) since 2019/12/20 – 2019/12/27.,Allergic Rhinitis (Seasonal Allergies),2019/12/20 – 2019/12/27
I've been experiencing Celiac Disease since 2020/01/28 – 2020/02/02.,Celiac Disease,2020/01/28 – 2020/02/02
"Since Last 2 months, I’ve been dealing with Shingles (Herpes Zoster).",Shingles (Herpes Zoster),Last 2 months
I have Common Cold since 2020/01/01 – 2020/01/07.,Common Cold,2020/01/01 – 2020/01/07
I have had Iliotibial Band Syndrome (ITBS) since 2020/02/15 – 2020/02/20.,Iliotibial Band Syndrome (ITBS),2020/02/15 – 2020/02/20
"Since 03/20/2020 – 03/27/2020, I’ve been dealing with Chronic Back Pain.",Chronic Back Pain,03/20/2020 – 03/27/2020
I have Achilles Tendinitis since During the holiday season 2019.,Achilles Tendinitis,During the holiday season 2019
I've been experiencing Acid Reflux (GERD) since Past 12 hours.,Acid Reflux (GERD),Past 12 hours
"Since Last 3 months, I’ve been dealing with Osteoarthritis.",Osteoarthritis,Last 3 months
I have Delayed Onset Muscle Soreness (DOMS) since 2019/11/03 – 2019/11/07.,Delayed Onset Muscle Soreness (DOMS),2019/11/03 – 2019/11/07
Delayed Onset Muscle Soreness (DOMS) have been affecting me since 2020/01/28 – 2020/02/02.,Delayed Onset Muscle Soreness (DOMS),2020/01/28 – 2020/02/02
Bradycardia (Slow Heart Rate) have been affecting me since 2019/12/01 – 2019/12/05.,Bradycardia (Slow Heart Rate),2019/12/01 – 2019/12/05
I’ve been suffering from Gallstones ever since 2019/11/05 – 2019/11/06.,Gallstones,2019/11/05 – 2019/11/06
I've been experiencing Peripheral Neuropathy since 2019/12/15 – 2019/12/19.,Peripheral Neuropathy,2019/12/15 – 2019/12/19
I've been experiencing Peripheral Neuropathy since Last 36 hours.,Peripheral Neuropathy,Last 36 hours
I have had Postural Orthostatic Tachycardia Syndrome (POTS) since 2019/12/20 – 2019/12/27.,Postural Orthostatic Tachycardia Syndrome (POTS),2019/12/20 – 2019/12/27
"Since 2019/12/08 – 2019/12/12, I’ve been dealing with Shingles (Herpes Zoster).",Shingles (Herpes Zoster),2019/12/08 – 2019/12/12
I've been experiencing Acid Reflux (GERD) since 2020/02/11 – 2020/02/14.,Acid Reflux (GERD),2020/02/11 – 2020/02/14
I've been experiencing Gout since Last weekend.,Gout,Last weekend
I have had Peptic Ulcer Disease since Past 1 hour.,Peptic Ulcer Disease,Past 1 hour
Exercise-Induced Hypoglycemia have been affecting me since Since last night at midnight.,Exercise-Induced Hypoglycemia,Since last night at midnight
I've been experiencing Peptic Ulcer Disease since 2019/11/29 – 2019/12/15.,Peptic Ulcer Disease,2019/11/29 – 2019/12/15
I have had Allergic Rhinitis (Seasonal Allergies) since 2019/11/03 – 2019/11/07.,Allergic Rhinitis (Seasonal Allergies),2019/11/03 – 2019/11/07
Polycystic Ovary Syndrome (PCOS) have been affecting me since Last 2 months.,Polycystic Ovary Syndrome (PCOS),Last 2 months
I've been experiencing Glaucoma since 03/26/2020 – 03/29/2020.,Glaucoma,03/26/2020 – 03/29/2020
I have Restless Legs Syndrome since 2019/11/10 – 2019/11/12.,Restless Legs Syndrome,2019/11/10 – 2019/11/12
Restless Legs Syndrome have been affecting me since 2019/12/08 – 2019/12/12.,Restless Legs Syndrome,2019/12/08 – 2019/12/12
I've been experiencing Type 2 Diabetes since 03/21/2020 – 03/25/2020.,Type 2 Diabetes,03/21/2020 – 03/25/2020
I have Attention Deficit Hyperactivity Disorder (ADHD) since The first week of November 2019.,Attention Deficit Hyperactivity Disorder (ADHD),The first week of November 2019
I’ve been suffering from Migraine ever since For the past 10 minutes.,Migraine,For the past 10 minutes
"Since 03/15/2020 – 03/19/2020, I’ve been dealing with Osteoarthritis.",Osteoarthritis,03/15/2020 – 03/19/2020
I have had Psoriasis Urinary Tract Infection (UTI) since 2020/02/22 – 2020/02/25.,Psoriasis Urinary Tract Infection (UTI),2020/02/22 – 2020/02/25
